Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE
Bogdan Bogdanovic,LAC,2.37,1.25,1.12,EXTERNAL_JSON
Coby White,CHI,0.22,1.47,-1.25,EXTERNAL_JSON
Chris Boucher,BOS,1.36,1.48,-0.12,EXTERNAL_JSON
Kentavious Caldwell-Pope,MEM,-0.2,-1.08,0.88,EXTERNAL_JSON
Shaedon Sharpe,POR,-1.59,-0.17,-1.42,EXTERNAL_JSON
Gary Payton II,GSW,1.69,1.09,0.61,EXTERNAL_JSON
Tobias Harris,DET,1.95,0.69,1.26,EXTERNAL_JSON
Stephon Castle,SAS,-1.52,-0.78,-0.73,EXTERNAL_JSON
Cameron Johnson,DEN,1.27,2.0,-0.73,EXTERNAL_JSON
Justin Champagnie,WAS,-2.66,0.23,-2.9,EXTERNAL_JSON
Kyle Filipowski,UTA,-0.67,0.0,-0.67,EXTERNAL_JSON
Grayson Allen,PHX,-0.57,0.93,-1.49,EXTERNAL_JSON
De'Andre Hunter,CLE,-0.3,1.14,-1.44,EXTERNAL_JSON
Grant Williams,CHA,-0.88,-0.09,-0.79,EXTERNAL_JSON
Jamaree Bouyea,PHX,0.28,0.76,-0.49,EXTERNAL_JSON
John Konchar,MEM,0.93,-0.61,1.54,EXTERNAL_JSON
Mouhamed Gueye,ATL,0.38,-1.28,1.66,EXTERNAL_JSON
Andrew Nembhard,IND,-0.74,-0.81,0.07,EXTERNAL_JSON
Jay Huff,IND,-1.39,-3.5,2.11,EXTERNAL_JSON
Vit Krejci,ATL,-2.12,-1.91,-0.22,EXTERNAL_JSON
Collin Sexton,CHA,-1.87,0.66,-2.53,EXTERNAL_JSON
Tony Bradley,IND,-0.65,-0.64,-0.01,EXTERNAL_JSON
Dyson Daniels,ATL,2.26,1.19,1.07,EXTERNAL_JSON
Mark Williams,PHX,-1.31,-1.47,0.15,EXTERNAL_JSON
Dru Smith,MIA,0.37,-1.29,1.66,EXTERNAL_JSON
Zach Edey,MEM,3.8,1.63,2.18,EXTERNAL_JSON
Kevin Huerter,CHI,0.88,1.31,-0.43,EXTERNAL_JSON
Davion Mitchell,MIA,1.22,0.15,1.07,EXTERNAL_JSON
Will Richard,GSW,-1.48,-0.98,-0.5,EXTERNAL_JSON
John Collins,LAC,0.04,0.48,-0.44,EXTERNAL_JSON
Jaylin Williams,OKC,1.19,-0.5,1.69,EXTERNAL_JSON
Ryan Dunn,PHX,0.39,-0.22,0.61,EXTERNAL_JSON
Aaron Holiday,HOU,1.8,-0.16,1.97,EXTERNAL_JSON
Jevon Carter,CHI,-1.1,-1.01,-0.09,EXTERNAL_JSON
Jusuf Nurkic,UTA,0.95,-1.19,2.14,EXTERNAL_JSON
Dante Exum,DAL,0.6,0.58,0.02,EXTERNAL_JSON
Domantas Sabonis,SAC,-0.48,0.01,-0.49,EXTERNAL_JSON
Jrue Holiday,POR,3.24,1.22,2.02,EXTERNAL_JSON
Landry Shamet,NYK,0.24,-0.63,0.87,EXTERNAL_JSON
Julian Phillips,CHI,1.32,0.72,0.6,EXTERNAL_JSON
Jordan Miller,LAC,-1.1,-0.72,-0.38,EXTERNAL_JSON
Clint Capela,HOU,1.06,-0.27,1.33,EXTERNAL_JSON
Brandon Ingram,TOR,-0.03,0.61,-0.64,EXTERNAL_JSON
Tre Jones,CHI,-0.31,0.1,-0.41,EXTERNAL_JSON
Quenton Jackson,IND,-0.26,-0.91,0.66,EXTERNAL_JSON
Antonio Reeves,CHA,-2.22,-0.87,-1.34,EXTERNAL_JSON
Bobby Portis,MIL,-0.37,0.48,-0.85,EXTERNAL_JSON
Isaac Okoro,CHI,0.49,0.02,0.47,EXTERNAL_JSON
Adem Bona,PHI,-1.37,-1.5,0.13,EXTERNAL_JSON
Jae'Sean Tate,HOU,-0.08,-1.14,1.07,EXTERNAL_JSON
Jose Alvarado,NOP,1.26,0.21,1.05,EXTERNAL_JSON
Kelly Oubre Jr.,PHI,-2.1,-0.74,-1.36,EXTERNAL_JSON
Cam Spencer,MEM,0.77,0.65,0.12,EXTERNAL_JSON
