Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE,PTS,MIN,GP
Tony Bradley,IND,-0.65,-0.64,-0.01,EXTERNAL_JSON,4.9,11.8,21.0
Dyson Daniels,ATL,2.26,1.19,1.07,EXTERNAL_JSON,10.7,33.9,25.0
Mark Williams,PHX,-1.31,-1.47,0.15,EXTERNAL_JSON,13.0,24.8,21.0
Dru Smith,MIA,0.37,-1.29,1.66,EXTERNAL_JSON,6.1,16.8,25.0
Zach Edey,MEM,3.8,1.63,2.18,EXTERNAL_JSON,13.6,25.8,11.0
Kevin Huerter,CHI,0.88,1.31,-0.43,EXTERNAL_JSON,11.9,24.1,19.0
Davion Mitchell,MIA,1.22,0.15,1.07,EXTERNAL_JSON,9.8,30.4,24.0
Will Richard,GSW,-1.48,-0.98,-0.5,EXTERNAL_JSON,8.0,19.1,23.0
John Collins,LAC,0.04,0.48,-0.44,EXTERNAL_JSON,12.1,26.9,25.0
Jaylin Williams,OKC,1.19,-0.5,1.69,EXTERNAL_JSON,5.5,18.6,24.0
Ryan Dunn,PHX,0.39,-0.22,0.61,EXTERNAL_JSON,7.5,23.2,20.0
Aaron Holiday,HOU,1.8,-0.16,1.97,EXTERNAL_JSON,9.3,17.1,17.0
Jevon Carter,CHI,-1.1,-1.01,-0.09,EXTERNAL_JSON,6.9,14.3,14.0
Jusuf Nurkic,UTA,0.95,-1.19,2.14,EXTERNAL_JSON,,,
Dante Exum,DAL,0.6,0.58,0.02,EXTERNAL_JSON,,,
Domantas Sabonis,SAC,-0.48,0.01,-0.49,EXTERNAL_JSON,17.2,33.2,11.0
Jrue Holiday,POR,3.24,1.22,2.02,EXTERNAL_JSON,16.7,33.4,12.0
Landry Shamet,NYK,0.24,-0.63,0.87,EXTERNAL_JSON,9.3,20.9,15.0
Julian Phillips,CHI,1.32,0.72,0.6,EXTERNAL_JSON,3.0,10.4,21.0
Jordan Miller,LAC,-1.1,-0.72,-0.38,EXTERNAL_JSON,8.5,13.6,4.0
Clint Capela,HOU,1.06,-0.27,1.33,EXTERNAL_JSON,3.8,11.7,21.0
Brandon Ingram,TOR,-0.03,0.61,-0.64,EXTERNAL_JSON,21.5,34.1,26.0
Tre Jones,CHI,-0.31,0.1,-0.41,EXTERNAL_JSON,13.2,28.6,17.0
Quenton Jackson,IND,-0.26,-0.91,0.66,EXTERNAL_JSON,11.8,20.1,5.0
Antonio Reeves,CHA,-2.22,-0.87,-1.34,EXTERNAL_JSON,3.5,8.8,6.0
Bobby Portis,MIL,-0.37,0.48,-0.85,EXTERNAL_JSON,12.0,21.9,26.0
Isaac Okoro,CHI,0.49,0.02,0.47,EXTERNAL_JSON,8.2,24.8,15.0
Adem Bona,PHI,-1.37,-1.5,0.13,EXTERNAL_JSON,3.5,16.1,17.0
Jae'Sean Tate,HOU,-0.08,-1.14,1.07,EXTERNAL_JSON,2.9,8.3,14.0
Jose Alvarado,NOP,1.26,0.21,1.05,EXTERNAL_JSON,8.9,22.5,25.0
Kelly Oubre Jr.,PHI,-2.1,-0.74,-1.36,EXTERNAL_JSON,16.8,34.8,12.0
Cam Spencer,MEM,0.77,0.65,0.12,EXTERNAL_JSON,11.1,21.2,24.0
Kevon Looney,NOP,2.4,0.63,1.76,EXTERNAL_JSON,2.7,12.9,12.0
Haywood Highsmith,BKN,-0.9,-1.4,0.5,EXTERNAL_JSON,,,
Harrison Barnes,SAS,-0.03,1.54,-1.57,EXTERNAL_JSON,13.5,31.1,24.0
Branden Carlson,OKC,-0.55,0.09,-0.63,EXTERNAL_JSON,5.0,10.0,17.0
Jamal Shead,TOR,-1.14,-1.25,0.11,EXTERNAL_JSON,6.3,19.8,26.0
Quinten Post,GSW,0.39,-1.2,1.59,EXTERNAL_JSON,7.4,17.5,25.0
Jaime Jaquez Jr.,MIA,0.49,-0.19,0.68,EXTERNAL_JSON,15.6,29.2,24.0
Keldon Johnson,SAS,-1.77,-0.1,-1.67,EXTERNAL_JSON,13.1,24.0,24.0
Noah Clowney,BKN,-2.43,-1.12,-1.31,EXTERNAL_JSON,13.3,28.1,23.0
Nicolas Claxton,BKN,-2.96,-2.79,-0.17,EXTERNAL_JSON,,,
Ajay Mitchell,OKC,1.32,-0.97,2.29,EXTERNAL_JSON,14.2,26.3,25.0
Kel'el Ware,MIA,-0.11,-0.1,-0.01,EXTERNAL_JSON,11.3,24.1,25.0
Oscar Tshiebwe,UTA,-0.17,0.1,-0.27,EXTERNAL_JSON,,,
Max Christie,DAL,-1.83,-0.91,-0.92,EXTERNAL_JSON,11.8,28.9,25.0
Tristan Vukcevic,WAS,-4.16,-3.02,-1.14,EXTERNAL_JSON,6.5,11.7,19.0
Duncan Robinson,DET,-0.31,0.13,-0.45,EXTERNAL_JSON,12.4,31.8,22.0
Jordan Goodwin,PHX,0.39,-0.74,1.12,EXTERNAL_JSON,8.8,20.5,22.0
Rui Hachimura,LAL,0.34,-0.06,0.41,EXTERNAL_JSON,13.7,33.0,23.0
Devin Vassell,SAS,-1.55,-0.89,-0.66,EXTERNAL_JSON,15.4,32.4,24.0
Craig Porter,CLE,-2.3,-1.25,-1.05,EXTERNAL_JSON,,,
Duop Reath,POR,-2.96,-1.42,-1.55,EXTERNAL_JSON,3.8,8.4,20.0
Jaxson Hayes,LAL,-1.92,-1.96,0.04,EXTERNAL_JSON,5.2,16.8,21.0
Jaylen Clark,MIN,0.11,-0.66,0.77,EXTERNAL_JSON,4.8,14.7,22.0
Isaiah Jackson,IND,-1.33,-0.43,-0.9,EXTERNAL_JSON,7.8,18.9,24.0
Malik Monk,SAC,0.28,0.97,-0.69,EXTERNAL_JSON,12.9,23.8,22.0
T.J. McConnell,IND,1.11,0.71,0.4,EXTERNAL_JSON,9.1,16.6,14.0
Quentin Grimes,PHI,-1.38,-0.75,-0.63,EXTERNAL_JSON,16.5,32.9,22.0
CJ McCollum,WAS,-0.77,1.8,-2.57,EXTERNAL_JSON,18.6,30.0,22.0
RJ Barrett,TOR,-0.96,0.4,-1.36,EXTERNAL_JSON,19.4,30.9,17.0
Xavier Tillman,BOS,-1.25,-1.8,0.55,EXTERNAL_JSON,2.8,9.4,11.0
Luke Kennard,ATL,0.24,1.87,-1.63,EXTERNAL_JSON,7.6,20.7,22.0
Obi Toppin,IND,0.74,2.06,-1.32,EXTERNAL_JSON,14.0,27.4,3.0
Precious Achiuwa,SAC,-3.57,-3.22,-0.35,EXTERNAL_JSON,7.4,19.9,18.0
Trey Murphy III,NOP,-2.21,-2.14,-0.07,EXTERNAL_JSON,21.2,35.5,24.0
Ron Harper Jr.,BOS,-0.4,-0.22,-0.18,EXTERNAL_JSON,2.0,5.1,4.0
Nikola Topić,OKC,0.0,0.0,0.0,EXTERNAL_JSON,,,
Brandon Williams,DAL,-0.21,-0.88,0.67,EXTERNAL_JSON,10.8,21.6,23.0
Miles Bridges,CHA,-1.66,-0.6,-1.06,EXTERNAL_JSON,21.0,34.7,24.0
Johnny Furphy,IND,-1.32,-1.56,0.23,EXTERNAL_JSON,2.2,13.3,6.0
Royce O'Neale,PHX,-0.24,-0.24,0.0,EXTERNAL_JSON,10.5,29.8,25.0
Andre Drummond,PHI,-0.99,-0.79,-0.2,EXTERNAL_JSON,7.7,21.7,22.0
Dillon Brooks,PHX,1.07,-0.41,1.48,EXTERNAL_JSON,21.7,31.1,19.0
Sion James,CHA,0.72,0.19,0.54,EXTERNAL_JSON,6.6,26.1,24.0
Peyton Watson,DEN,-1.83,-1.38,-0.45,EXTERNAL_JSON,10.8,27.0,24.0
Khris Middleton,WAS,0.9,1.34,-0.45,EXTERNAL_JSON,10.4,25.8,16.0
Dalen Terry,CHI,-1.48,-2.49,1.01,EXTERNAL_JSON,3.1,11.1,13.0
Ryan Kalkbrenner,CHA,-3.58,-2.67,-0.92,EXTERNAL_JSON,9.0,25.5,22.0
Josh Green,CHA,-2.33,-1.76,-0.57,EXTERNAL_JSON,,,
Brook Lopez,LAC,0.68,-1.11,1.78,EXTERNAL_JSON,5.8,14.1,19.0
Nah'Shon Hyland,MIN,-1.85,-0.76,-1.09,EXTERNAL_JSON,,,
D'Angelo Russell,DAL,1.02,0.66,0.36,EXTERNAL_JSON,11.2,20.3,21.0
Bryce McGowens,NOP,-2.76,-1.4,-1.35,EXTERNAL_JSON,8.8,18.2,16.0
Anfernee Simons,BOS,-1.85,-0.03,-1.83,EXTERNAL_JSON,13.1,23.7,25.0
