id,date,home_team,away_team,prob_home,prob_away,prob_mc_home,prob_mc_away,odd_home,odd_away,prediction,confidence,home_score,away_score,winner,correct,timestamp,fgm,fga,fg3m,tov,oreb,dreb,fta,ftm,ast,stl,blk,pf,pts,opp_fgm,opp_fga,opp_fg3m,opp_tov,opp_oreb,opp_dreb,opp_fta,opp_ftm,opp_ast,opp_stl,opp_blk,opp_pf,opp_pts,predicted_spread,predicted_total,ci_lower,ci_upper
2024-10-10_SanAntonioSpurs_OrlandoMagic,2024-10-10,San Antonio Spurs,Orlando Magic,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,107,97,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-10_SacramentoKings_GoldenStateWarriors,2024-10-10,Sacramento Kings,Golden State Warriors,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,112,122,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-10_ClevelandCavaliers_IndianaPacers,2024-10-10,Cleveland Cavaliers,Indiana Pacers,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,117,129,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-11_DallasMavericks_UtahJazz,2024-10-11,Dallas Mavericks,Utah Jazz,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,102,107,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-11_MemphisGrizzlies_CharlotteHornets,2024-10-11,Memphis Grizzlies,Charlotte Hornets,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,94,119,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-11_MilwaukeeBucks_LosAngelesLakers,2024-10-11,Milwaukee Bucks,Los Angeles Lakers,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,102,107,AWAY,1.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-11_OklahomaCityThunder_NewZealandBreakers,2024-10-11,Oklahoma City Thunder,New Zealand Breakers,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,117,89,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-11_WashingtonWizards_TorontoRaptors,2024-10-11,Washington Wizards,Toronto Raptors,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,113,95,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-11_MinnesotaTimberwolves_Philadelphia76ers,2024-10-11,Minnesota Timberwolves,Philadelphia 76ers,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,121,111,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2024-10-12_GoldenStateWarriors_SacramentoKings,2024-10-12,Golden State Warriors,Sacramento Kings,50.0,50.0,0.0,0.0,0.0,0.0,AWAY,N/A,109,106,HOME,0.0,2025-11-25 12:38:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
