mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.30658860206604,1.1446352530723323,0.11325039863586425,0.05370527209480529,0.8,0.5,0.05,4,1,700,0.7,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 0.7}",-5.073691087012193,-4.278616335530812,-4.0285352049416,-3.909984680024751,-10.80331238353694,-5.61882793820926,2.623791018692541,11,-0.921320404128714,-1.2846977133837236,-1.4618967407636898,-1.558060035271757,-1.6261887065532203,-1.3704327200202209,0.2522035546200417
9.503108024597168,1.1559652907161289,0.13887910842895507,0.03836088527189953,0.8,0.0,0.05,4,1,700,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 0.7}",-5.073691087012193,-4.278616335530812,-4.0285352049416,-3.909984680024751,-10.80331238353694,-5.61882793820926,2.623791018692541,11,-0.921320404128714,-1.2846977133837236,-1.4618967407636898,-1.558060035271757,-1.6261887065532203,-1.3704327200202209,0.2522035546200417
5.418456935882569,0.9468952703046373,0.15855083465576172,0.06516740156898125,0.8,0.1,0.05,4,1,700,0.7,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 700, 'subsample': 0.7}",-5.073691087012193,-4.278616335530812,-4.0285352049416,-3.909984680024751,-10.80331238353694,-5.61882793820926,2.623791018692541,11,-0.921320404128714,-1.2846977133837236,-1.4618967407636898,-1.558060035271757,-1.6261887065532203,-1.3704327200202209,0.2522035546200417
6.1527973175048825,0.9858169695305445,0.17818713188171387,0.04877768020166366,0.7,0.0,0.1,4,5,700,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 700, 'subsample': 0.7}",-5.0157758203699,-4.157700509852658,-4.024485835456033,-3.849600763395264,-11.088418189690955,-5.6271962237529625,2.7599537725667544,14,-0.8704977253636161,-1.039759410274449,-1.2165072367586125,-1.2468580251586312,-1.3475864490594371,-1.1442417693229492,0.16908803475001588
5.100340938568115,0.5704114569232089,0.09345040321350098,0.04894706917889314,0.8,0.5,0.1,4,3,700,0.7,"{'colsample_bytree': 0.8, 'gamma': 0.5, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 700, 'subsample': 0.7}",-4.976284904574058,-4.307354347679608,-4.095013005317705,-3.8656328667564805,-10.911373223531893,-5.631131669571949,2.6660385640557815,15,-0.7539063025306869,-1.0063711472577723,-1.1146565465411222,-1.2253783000027298,-1.3193804014607258,-1.0839385395586074,0.1956116816294006
5.54876217842102,1.0818177133947118,0.11873850822448731,0.06211760590236263,0.8,0.1,0.05,4,3,700,0.7,"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 700, 'subsample': 0.7}",-5.02380503315754,-4.3253052060309365,-4.029648592535233,-3.836732805457797,-10.940680612716331,-5.6312344499795675,2.6851425903507686,16,-1.1059622397134592,-1.3955011858044823,-1.480505504556449,-1.5725008349910854,-1.6387140490841836,-1.438636762829932,0.1855998481466432
9.654330253601074,1.41466952819762,0.158551025390625,0.0322371778214051,0.8,0.0,0.05,4,3,700,0.7,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 700, 'subsample': 0.7}",-5.02380503315754,-4.3253052060309365,-4.029648592535233,-3.836732805457797,-10.940680612716331,-5.6312344499795675,2.6851425903507686,16,-1.1059622397134592,-1.3955011858044823,-1.480505504556449,-1.5725008349910854,-1.6387140490841836,-1.438636762829932,0.1855998481466432
3.8339587211608888,1.4119943826002528,0.08273334503173828,0.01980493233177042,0.9,0.1,0.05,4,5,500,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 500, 'subsample': 0.7}",-4.879774319227974,-4.303938151672318,-4.094636955518465,-3.9217734892377694,-10.967445918620243,-5.633513766855353,2.686444612848696,18,-1.3523215789061327,-1.5657451698548337,-1.7014787255852735,-1.8336304734674587,-1.8809489825034673,-1.6668249860634332,0.19183511696282765
7.142532873153686,0.748001950929023,0.12410111427307129,0.024219655497027467,0.9,0.5,0.05,4,3,700,0.7,"{'colsample_bytree': 0.9, 'gamma': 0.5, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 700, 'subsample': 0.7}",-5.049243131993753,-4.23833006355967,-4.0608906395914275,-3.870932590287327,-10.958405506161471,-5.63556038631873,2.69154961823761,19,-1.070683543891697,-1.316150948395009,-1.5110940482798612,-1.6131443122443934,-1.657142581949754,-1.4336430869521428,0.21620147921675772
8.422470235824585,1.0268569993950873,0.14519619941711426,0.04048484395826557,0.7,0.5,0.05,4,5,700,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.5, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 700, 'subsample': 0.7}",-5.147548781121952,-4.309401524284028,-3.987133566512177,-3.787108727983686,-10.95797128171596,-5.6378327763235605,2.7003321680223156,20,-1.193402752509484,-1.428792299152996,-1.4997480740588676,-1.6095152121866914,-1.6691339738916788,-1.4801184623599437,0.16594937627203016
5.487529563903808,1.1999371609120535,0.11109929084777832,0.025471239926826265,0.7,0.0,0.05,4,3,700,0.7,"{'colsample_bytree': 0.7, 'gamma': 0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 700, 'subsample': 0.7}",-5.1136825675387385,-4.335612209304082,-4.04624630947069,-3.8720909529437555,-10.839798379320868,-5.641486083715626,2.633700169583933,21,-1.0630223364947917,-1.3396700188735016,-1.4615570415409445,-1.5942477866824483,-1.6411445585835807,-1.4199283484350533,0.20730659762592316
4.446414804458618,0.5767650343140113,0.07528395652770996,0.03357310458433855,0.7,0.1,0.05,4,3,700,0.7,"{'colsample_bytree': 0.7, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 700, 'subsample': 0.7}",-5.1136825675387385,-4.335612209304082,-4.04624630947069,-3.8720909529437555,-10.839798379320868,-5.641486083715626,2.633700169583933,21,-1.0630223364947917,-1.3396700188735016,-1.4615570415409445,-1.5942477866824483,-1.6411445585835807,-1.4199283484350533,0.20730659762592316
